"sede_codigo","periodo_id","periodo_anio","actividad_id","actividad_codigo","actividad_nombre"
"105001000001,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000001","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000027,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000027","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000043","10","2023","4","4","Exposici�n y ense�anza de los contenidos curriculares en red (intranet)"
"105001000043,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000078","10","2023","4","4","Exposici�n y ense�anza de los contenidos curriculares en red (intranet)"
"105001000078,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000078","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000094,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000094","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000108,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000132,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000132","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000141","10","2023","4","4","Exposici�n y ense�anza de los contenidos curriculares en red (intranet)"
"105001000141,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000141","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000159","10","2023","4","4","Exposici�n y ense�anza de los contenidos curriculares en red (intranet)"
"105001000159,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
"105001000159","10","2023","7","7","Aprendizaje y evaluaci�n del aprendizaje utilizando la plataforma virtual o multimedia digital"
"105001000175","10","2023","4","4","Exposici�n y ense�anza de los contenidos curriculares en red (intranet)"
"105001000175,10,2023,5,05,""Consulta de contenidos pedag�gicos, mediante buscadores en internet""","null","null","null","null",""
